dataset	schedule	objective	beta_1	alpha_bar_T	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source
mnist	linear	simple			0.959524	2.598570	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_simple
mnist	linear	hybrid			0.387824	2.573753	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_hybrid
mnist	linear	vlb			0.476889	0.579668	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_vlb
mnist	cosine	simple			0.754538	2.173214	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_simple
mnist	cosine	hybrid			0.346260	2.258499	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_hybrid
mnist	cosine	vlb			0.315578	0.432768	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_vlb
mnist	geometric_linear	simple			0.647220	0.516012	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_simple
mnist	geometric_linear	hybrid			0.345607	0.494281	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_hybrid
mnist	geometric_linear	vlb			0.391178	0.609716	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_vlb
mnist	geometric_cosine	simple			0.343540	0.482725	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_simple
mnist	geometric_cosine	hybrid			0.286482	0.434488	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_hybrid
mnist	geometric_cosine	vlb			0.312752	0.450340	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_vlb
mnist	tuned_nll	simple	1e-5	3e-3	0.407752	2.206091	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_nll	hybrid	1e-5	3e-3	0.327399	2.089425	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_nll	vlb	1e-5	3e-3	0.308944	1.616805	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_balanced	simple	3e-5	1e-3	0.809146	0.859855	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_balanced	hybrid	3e-5	1e-3	0.374347	0.720239	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_balanced	vlb	3e-5	1e-3	0.424255	0.961700	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_fid	simple	3e-3	1e-2	3.770517	7.988203	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_fid	hybrid	3e-3	1e-2	0.827381	7.757873	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
mnist	tuned_fid	vlb	3e-3	1e-2	1.068162	5.832300	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
fashionmnist	linear	simple			1.452883	2.435917	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_linear_simple
fashionmnist	linear	hybrid			0.947477	2.320925	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_linear_hybrid
fashionmnist	linear	vlb			1.096259	1.277860	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260125_101550/fashionmnist_linear_vlb
fashionmnist	cosine	simple			1.214592	2.221193	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_simple
fashionmnist	cosine	hybrid			0.827938	2.352145	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_hybrid
fashionmnist	cosine	vlb			0.816530	1.772126	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_vlb
fashionmnist	geometric_linear	simple			1.746214	1.512209	10000	50000	4000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_simple
