dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source_eval_dir	cache_key
cifar100	hybrid	cosine	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.238326	11.612854	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_hybrid	43f06f63366ea805
cifar100	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	2.944831	15.667780	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_hybrid	80cec3c595054deb
cifar100	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.045734	11.983016	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_hybrid	10a52c50e3f73a38
cifar100	hybrid	linear	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.316932	16.621504	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_hybrid	78225c207bd8b1dc
cifar100	simple	cosine	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.325167	12.462436	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_simple	845ff5dc108bf24c
cifar100	simple	geometric_cosine	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	4.950643	14.308784	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_simple	9b1633f2183073ce
cifar100	simple	geometric_linear	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	9.040311	11.412882	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_simple	7ef7de4546474124
cifar100	simple	linear	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.438650	19.676453	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_simple	9d433892378bf9c7
cifar100	vlb	cosine	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	2.999708	19.567620	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_vlb	61d4d8a111faffb9
cifar100	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	2.961710	16.906178	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_vlb	59110ca5f1c35d91
cifar100	vlb	geometric_linear	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.040087	18.118694	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_vlb	93112025aed474ad
cifar100	vlb	linear	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.127532	16.265523	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_vlb	89e09e1a0d2a7653
