dataset	objective	schedule	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	clip_density	clip_coverage	n_features_requested	samples_npz	real_dir
cifar100	hybrid	cosine	3.238326	11.612854	0.012849203	0.00694721271	8.48406599e-05	0.974600031	0.855499983	1.34060004	0.815799952	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	hybrid	geometric_cosine	2.944831	15.667780	0.0245907234	0.0127669239	0.000112959483	0.717060016	0.665099978	1.06070002	0.55399996	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	hybrid	geometric_linear	3.045734	11.983016	0.0176065232	0.00961225037	0.000109847103	0.759520026	0.750899971	1.01386	0.638899982	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	hybrid	linear	3.316932	16.621504	0.0190756933	0.0112077968	0.000127044508	1.01216002	0.826200008	1.46542003	0.776199996	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	simple	cosine	3.325167	12.462436	0.0134224759	0.00775094677	9.32111086e-05	1.01148	0.856599987	1.39864001	0.813299954	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	simple	geometric_cosine	4.950643	14.308784	0.0236678127	0.0113379695	0.000106591883	0.732340009	0.69569999	1.06640001	0.565999985	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	simple	geometric_linear	9.040311	11.412882	0.017215179	0.00866221002	8.94450988e-05	0.754100012	0.743499994	0.992780005	0.630299985	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	simple	linear	3.438650	19.676453	0.0207246138	0.0130666917	0.000120000482	1.02030001	0.816699982	1.48006001	0.768099964	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	vlb	cosine	2.999708	19.567620	0.0293654116	0.0174553847	0.000126318002	0.648440005	0.615700006	1.05756004	0.523800015	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_cosine_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	vlb	geometric_cosine	2.961710	16.906178	0.0260736371	0.0140547439	0.000147822532	0.667960022	0.638700008	0.997660028	0.521299958	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_cosine_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	vlb	geometric_linear	3.040087	18.118694	0.0267197005	0.0154912729	0.000126015283	0.648060022	0.62650001	0.961960004	0.497499973	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_geometric_linear_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	vlb	linear	3.127532	16.265523	0.0264318923	0.0126443518	0.000118523796	0.678239996	0.643400013	1.04820003	0.525699973	50000	/project_gpfs/bata0/bjin0/cifar100_evaluation_nll_fid_20260617_122440/cifar100_linear_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
