dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	hybrid_vb_weight	nll_samples	fid_samples	sampling_steps	source_eval_dir	cache_key
celeba64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/celeba64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.326590	3.065628	0.001	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/celeba64_geometric_linear_hybrid_do0p1	2b9a9a379529ca04
celeba64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/celeba64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.323732	4.651720	none	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/celeba64_geometric_linear_vlb_do0p1	4cdbe9d11c3c1a12
cifar10	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar10_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	cifar_train	50000	32	3.024122	6.510229	0.001	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar10_geometric_linear_hybrid_do0p1	11b49f7f7a7aa26e
cifar10	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar10_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	cifar_train	50000	32	3.045419	9.858211	none	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar10_geometric_linear_vlb_do0p1	31c8e44857d301ab
cifar100	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar100_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.047246	10.851330	0.001	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar100_geometric_linear_hybrid_do0p1	ff5fd68eb7d13a19
cifar100	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar100_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train	50000	32	3.058124	17.016519	none	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar100_geometric_linear_vlb_do0p1	69b411eda6cf63f7
fashionmnist	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/fashionmnist_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	fashion_train	50000	32	0.940800	1.405982	0.001	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/fashionmnist_geometric_linear_hybrid_do0p1	d52024026a3d6b5f
fashionmnist	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/fashionmnist_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	fashion_train	50000	32	1.026458	1.184424	none	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/fashionmnist_geometric_linear_vlb_do0p1	36d15b376ec3d611
imagenet64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/imagenet64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64	3.317982	32.214199	0.001	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/imagenet64_geometric_linear_hybrid_do0p1	de5497dbb426a002
imagenet64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/imagenet64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64	3.315302	37.085231	none	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/imagenet64_geometric_linear_vlb_do0p1	0c482f704397fe2d
lsun_bedroom64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_bedroom64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.478125	4.188271	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_bedroom64_geometric_linear_hybrid_do0p1	16fc44029b73571c
lsun_bedroom64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_bedroom64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.457387	12.524331	none	300	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_bedroom64_geometric_linear_vlb_do0p1	c1c224ee7ce6c3dd
lsun_church64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_church64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.719235	4.229296	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_church64_geometric_linear_hybrid_do0p1	82065186055efe65
lsun_church64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_church64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.703283	11.612105	none	300	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_church64_geometric_linear_vlb_do0p1	fca09d8dae2b738e
mnist	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/mnist_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	mnist_train	50000	32	0.425630	0.694729	0.001	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/mnist_geometric_linear_hybrid_do0p1	3c811d0e72cebcc6
mnist	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/mnist_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	mnist_train	50000	32	0.485398	0.391306	none	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/mnist_geometric_linear_vlb_do0p1	806c0e2efabccd8a
svhn	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/svhn_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.733090	2.789493	0.001	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/svhn_geometric_linear_hybrid_do0p1	383f44224742efc8
svhn	vlb	geometric_linear	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/svhn_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.710067	3.765522	none	10000	50000	4000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/svhn_geometric_linear_vlb_do0p1	09a11a6d17b9c138
