dataset	objective	schedule	hybrid_vb_weight	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	clip_density	clip_coverage	n_features_requested	samples_npz	real_dir
celeba64	hybrid	geometric_linear	0.001	2.326590	3.065628	0.00336043966	0.00157841332	2.96481541e-05	1.25106002	0.95569998	0.984400012	0.885800004	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/celeba64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	vlb	geometric_linear	none	2.323732	4.651720	0.00752305708	0.0021059937	3.64681837e-05	1.06374003	0.921099961	0.809260016	0.810299993	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/celeba64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
cifar10	hybrid	geometric_linear	0.001	3.024122	6.510229	0.0106330251	0.00400686208	6.47402598e-05	0.889360004	0.876100004	1.03218004	0.815699995	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar10_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	geometric_linear	none	3.045419	9.858211	0.0183245155	0.00701654281	8.95927448e-05	0.776500024	0.792699993	0.98336001	0.705799997	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar10_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	cifar_train
cifar100	hybrid	geometric_linear	0.001	3.047246	10.851330	0.0175240779	0.00773206973	0.000102077224	0.772200031	0.760199964	1.05800001	0.650200009	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar100_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
cifar100	vlb	geometric_linear	none	3.058124	17.016519	0.0282048261	0.0132794019	0.000146340911	0.700240015	0.636599958	1.07364004	0.515399992	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/cifar100_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/cifar100_32x32/train
fashionmnist	hybrid	geometric_linear	0.001	0.940800	1.405982	0.00219578206	0.000483721833	2.51739913e-05	1.11286	0.969699979	0.993579999	0.9454	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/fashionmnist_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	fashion_train
fashionmnist	vlb	geometric_linear	none	1.026458	1.184424	0.00126618571	0.000361010629	2.64081696e-05	1.02152003	0.961599946	0.975220032	0.94629997	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/fashionmnist_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	fashion_train
imagenet64	hybrid	geometric_linear	0.001	3.317982	32.214199	0.0301719301	0.0372751148	0.000258905186	0.479620007	0.467999995	0.89232002	0.505999982	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/imagenet64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	geometric_linear	none	3.315302	37.085231	0.0451251967	0.0355357256	0.000202576676	0.353360016	0.371399999	0.959780005	0.393899977	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/imagenet64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
lsun_bedroom64	hybrid	geometric_linear	0.001	2.478125	4.188271	0.0184957975	0.00312508364	4.29011172e-05	1.03320001	0.928799987	1.40624003	0.794799984	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_bedroom64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	vlb	geometric_linear	none	2.457387	12.524331	0.0339414065	0.00822123666	9.80574802e-05	0.697120007	0.835699975	1.13888004	0.655499995	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_bedroom64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_church64	hybrid	geometric_linear	0.001	2.719235	4.229296	0.0131272519	0.0028922346	3.31512986e-05	1.05444005	0.92049998	0.713420007	0.684899986	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_church64_geometric_linear_hybrid_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	vlb	geometric_linear	none	2.703283	11.612105	0.03151681	0.00697264255	5.77128869e-05	0.718240009	0.819999993	0.542180029	0.507499993	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/lsun_church64_geometric_linear_vlb_do0p1/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
mnist	hybrid	geometric_linear	0.001	0.425630	0.694729	0.000972273323	0.000437325762	2.20876282e-05	1.03154002	0.966600001	1.02970001	0.966499984	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/mnist_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	mnist_train
mnist	vlb	geometric_linear	none	0.485398	0.391306	0.000511147987	0.000106259231	1.77699141e-05	1.00326003	0.966199994	0.979019995	0.961899996	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/mnist_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	mnist_train
svhn	hybrid	geometric_linear	0.001	1.733090	2.789493	0.00667572945	0.00243112897	9.12863926e-05	1.09230001	0.964999974	0.962460028	0.948099971	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/svhn_geometric_linear_hybrid_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train
svhn	vlb	geometric_linear	none	1.710067	3.765522	0.00894511008	0.0033268415	0.000105495279	1.09246002	0.954999983	0.923940027	0.92869997	50000	/project_gpfs/bata0/bjin0/geometric_linear_dropout01_eval_20260711_130421/svhn_geometric_linear_vlb_do0p1/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train
