dataset	schedule	objective	dropout	hybrid_vb_weight	beta_1	alpha_bar_T	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	checkpoint_step	job_id	model_path	source
imagenet64	linear	simple	0.1	none				27.959512		50000	4000	200000	164530	/project_gpfs/bata0/bjin0/bjin0/108504/logs/imagenet64_linear_simple/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_simple
imagenet64	linear	hybrid	0.1	0.001				28.172992		50000	4000	200000	164531	/project_gpfs/bata0/bjin0/bjin0/108505/logs/imagenet64_linear_hybrid/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_hybrid
imagenet64	linear	vlb	0.1	none				38.377532		50000	4000	200000	164532	/project_gpfs/bata0/bjin0/bjin0/108506/logs/imagenet64_linear_vlb/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_vlb
imagenet64	cosine	simple	0.3	none				25.352176		50000	4000	200000	164533	/project_gpfs/bata0/bjin0/bjin0/108507/logs/imagenet64_cosine_simple/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_simple
imagenet64	cosine	hybrid	0.3	0.001				25.796027		50000	4000	200000	164534	/project_gpfs/bata0/bjin0/bjin0/108508/logs/imagenet64_cosine_hybrid/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_hybrid
imagenet64	cosine	vlb	0.3	none				60.108993		50000	4000	200000	164535	/project_gpfs/bata0/bjin0/bjin0/108509/logs/imagenet64_cosine_vlb/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_vlb
imagenet64	geometric_linear	simple	0.3	none				32.558294		50000	4000	200000	164536	/project_gpfs/bata0/bjin0/bjin0/108510/logs/imagenet64_geometric_linear_simple/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_simple
imagenet64	geometric_linear	hybrid	0.3	0.001				32.004240		50000	4000	200000	164537	/project_gpfs/bata0/bjin0/bjin0/108512/logs/imagenet64_geometric_linear_hybrid/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_hybrid
imagenet64	geometric_linear	vlb	0.3	none				42.739267		50000	4000	200000	164538	/project_gpfs/bata0/bjin0/bjin0/108514/logs/imagenet64_geometric_linear_vlb/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_vlb
imagenet64	geometric_cosine	simple	0.3	none				36.676212		50000	4000	200000	164539	/project_gpfs/bata0/bjin0/bjin0/108511/logs/imagenet64_geometric_cosine_simple/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_simple
imagenet64	geometric_cosine	hybrid	0.3	0.001				37.307834		50000	4000	200000	164540	/project_gpfs/bata0/bjin0/bjin0/108513/logs/imagenet64_geometric_cosine_hybrid/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_hybrid
imagenet64	geometric_cosine	vlb	0.3	none				41.035898		50000	4000	200000	164541	/project_gpfs/bata0/bjin0/bjin0/108515/logs/imagenet64_geometric_cosine_vlb/ema_0.9999_200000.pt	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_vlb
