dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	hybrid_vb_weight	nll_samples	fid_samples	sampling_steps	source_eval_dir	cache_key
imagenet64	hybrid	cosine	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		25.796027	0.001		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_hybrid	584db0397f9855e6
imagenet64	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		37.307834	0.001		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_hybrid	bca0f0a6f48b5d82
imagenet64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		32.004240	0.001		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_hybrid	4a10ef93432b9540
imagenet64	hybrid	linear	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		28.172992	0.001		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_hybrid	4489d358527a3b16
imagenet64	simple	cosine	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		25.352176	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_simple	1e8e44b6c6c39df7
imagenet64	simple	geometric_cosine	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		36.676212	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_simple	0c4bf355637fb5b1
imagenet64	simple	geometric_linear	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		32.558294	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_simple	c0fe7f95ad08cf22
imagenet64	simple	linear	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		27.959512	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_simple	4cc54032d7d65150
imagenet64	vlb	cosine	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		60.108993	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_vlb	d3e1f372fa9e15c2
imagenet64	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		41.035898	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_vlb	9075f8b76b9df3fd
imagenet64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		42.739267	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_vlb	a2ef2fabf50febbe
imagenet64	vlb	linear	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	50000	64		38.377532	none		50000	4000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_vlb	4dc0aea7e167b518
