dataset	objective	schedule	hybrid_vb_weight	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	clip_density	clip_coverage	n_features_requested	samples_npz	real_dir
imagenet64	hybrid	cosine	0.001		25.796027		0.0307901043	0.000246534921					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	hybrid	geometric_cosine	0.001		37.307834		0.0438583643	0.000258240024					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	hybrid	geometric_linear	0.001		32.004240		0.0370448529	0.000220825096					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	hybrid	linear	0.001		28.172992		0.0336010473	0.000241998343					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_hybrid/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	cosine	none		25.352176		0.0298522171	0.000240179805					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	geometric_cosine	none		36.676212		0.042936276	0.000262637185					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	geometric_linear	none		32.558294		0.0383987488	0.000249892161					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	linear	none		27.959512		0.0312289644	0.000229138988					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_simple/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	cosine	none		60.108993		0.0739405254	0.000305572502					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_cosine_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	geometric_cosine	none		41.035898		0.0394468788	0.000244666276					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_cosine_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	geometric_linear	none		42.739267		0.0374191168	0.000183364619					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_geometric_linear_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	linear	none		38.377532		0.0355903071	0.000209428842					50000	/project_gpfs/bata0/bjin0/imagenet64_fid50k_finished12_20260708_112342/imagenet64_linear_vlb/logger/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
