dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source_eval_dir
mnist	simple	linabar_linear	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_simple/samples_50000x32x32x3.npz	mnist_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_simple
mnist	hybrid	linabar_linear	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_hybrid/samples_50000x32x32x3.npz	mnist_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_hybrid
mnist	vlb	linabar_linear	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_vlb/samples_50000x32x32x3.npz	mnist_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_vlb
mnist	simple	linabar_cosine	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_simple/samples_50000x32x32x3.npz	mnist_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_simple
mnist	hybrid	linabar_cosine	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_hybrid/samples_50000x32x32x3.npz	mnist_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_hybrid
mnist	vlb	linabar_cosine	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_vlb/samples_50000x32x32x3.npz	mnist_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_vlb
fashionmnist	simple	linabar_linear	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_simple/samples_50000x32x32x3.npz	fashion_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_simple
fashionmnist	hybrid	linabar_linear	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_hybrid/samples_50000x32x32x3.npz	fashion_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_hybrid
fashionmnist	vlb	linabar_linear	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_vlb/samples_50000x32x32x3.npz	fashion_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_vlb
fashionmnist	simple	linabar_cosine	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_cosine_simple/samples_50000x32x32x3.npz	fashion_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_cosine_simple
fashionmnist	hybrid	linabar_cosine	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_cosine_hybrid/samples_50000x32x32x3.npz	fashion_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_cosine_hybrid
fashionmnist	vlb	linabar_cosine	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_cosine_vlb/samples_50000x32x32x3.npz	fashion_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_cosine_vlb
cifar10	simple	linabar_linear	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/cifar10_linabar_linear_simple/samples_50000x32x32x3.npz	cifar_train	50000	32			10000	50000	4000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/cifar10_linabar_linear_simple
