dataset	objective	schedule	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	clip_density	clip_coverage	n_features_requested	samples_npz	real_dir
cifar10	hybrid	linabar_linear			0.0110803962	0.00489196681	5.18066894e-05	1.05494002	0.901199996	1.34992002	0.893299997	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/cifar10_linabar_linear_hybrid/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	linabar_cosine			0.0225410839	0.0125986287	9.15270602e-05	0.891720007	0.844599962	1.13278002	0.790699959	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/cifar10_linabar_cosine_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	linabar_linear			0.0215968995	0.0112238333	8.90134981e-05	0.884440009	0.853100002	1.15612001	0.806499958	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/cifar10_linabar_linear_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	linabar_cosine			0.113811784	0.0503432146	0.000184010218	0.67632002	0.265499979	1.71926002	0.206100002	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/cifar10_linabar_cosine_vlb/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	linabar_linear			0.0183308938	0.00753414843	8.7685958e-05	0.709920001	0.756899953	0.936220007	0.670699954	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/cifar10_linabar_linear_vlb/samples_50000x32x32x3.npz	cifar_train
fashionmnist	hybrid	linabar_linear			0.00613259529	0.00134529076	3.47446562e-05	1.22686002	0.964599967	0.974020026	0.90109998	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_hybrid/samples_50000x32x32x3.npz	fashion_train
fashionmnist	simple	linabar_cosine			0.0300945498	0.00518603324	5.59518429e-05	0.872580011	0.904999971	0.309820007	0.457499981	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_cosine_simple/samples_50000x32x32x3.npz	fashion_train
fashionmnist	simple	linabar_linear			0.0281399717	0.00230651756	3.19170925e-05	1.07912001	0.948499978	0.374060007	0.500899971	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_simple/samples_50000x32x32x3.npz	fashion_train
fashionmnist	vlb	linabar_linear			0.0142324601	0.00506044917	5.96765414e-05	0.922440015	0.836799979	0.707380011	0.669399977	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/fashionmnist_linabar_linear_vlb/samples_50000x32x32x3.npz	fashion_train
imagenet64	hybrid	linabar_linear			0.0196596884	0.0260572103	0.000162501561	0.591960007	0.570199966	0.881580011	0.614600003	10000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/imagenet64_linabar_linear_hybrid/samples.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	linabar_cosine			0.0292103171	0.0227085741	0.000164488968	0.550180008	0.549600005	0.670880011	0.54460001	10000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/imagenet64_linabar_cosine_simple/samples.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	linabar_linear			0.0278173634	0.0225336707	0.00015690538	0.536200006	0.569199979	0.70296001	0.56189996	10000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/imagenet64_linabar_linear_simple/samples.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	linabar_linear			0.0555565461	0.0355747539	0.000181272867	0.293020012	0.318800002	1.05550005	0.363099992	10000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/imagenet64_linabar_linear_vlb/samples.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
mnist	hybrid	linabar_cosine			0.0635162463	0.034335851	0.00013487816	0.111220001	0.256899983	0.0146	0.0491000004	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_hybrid/samples_50000x32x32x3.npz	mnist_train
mnist	hybrid	linabar_linear			0.00215892229	0.00198028852	4.43618953e-05	1.12692	0.948499978	1.14562001	0.959199965	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_hybrid/samples_50000x32x32x3.npz	mnist_train
mnist	simple	linabar_cosine			0.0327475893	0.0101833061	6.91597532e-05	0.683380005	0.794200003	0.0999400032	0.243799999	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_cosine_simple/samples_50000x32x32x3.npz	mnist_train
mnist	simple	linabar_linear			0.0268380274	0.00557918176	7.18817559e-05	0.930840027	0.899599969	0.145860004	0.319299996	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_simple/samples_50000x32x32x3.npz	mnist_train
mnist	vlb	linabar_linear			0.00691016101	0.0072889825	8.97462592e-05	0.700640015	0.800399959	0.708040021	0.800899982	50000	/project_gpfs/bata0/bjin0/linabar_evaluation_nll_fid_20260605_041727/mnist_linabar_linear_vlb/samples_50000x32x32x3.npz	mnist_train
