dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source_eval_dir
cifar10	hybrid	cosine	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train	50000	32	3.206944	5.474877	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_hybrid
cifar10	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train	50000	32	2.921334	9.037849	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_hybrid
cifar10	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_hybrid/samples_50000x32x32x3.npz	cifar_train	50000	32	3.012372	7.114203	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_hybrid
cifar10	hybrid	linear	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_hybrid/samples_50000x32x32x3.npz	cifar_train	50000	32	3.295683	8.420695	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_hybrid
cifar10	simple	cosine	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_simple/samples_50000x32x32x3.npz	cifar_train	50000	32	3.298120	5.549630	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_simple
cifar10	simple	geometric_cosine	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_simple/samples_50000x32x32x3.npz	cifar_train	50000	32	4.874985	9.684377	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_simple
cifar10	simple	geometric_linear	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_simple/samples_50000x32x32x3.npz	cifar_train	50000	32	8.921947	6.795889	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_simple
cifar10	simple	linear	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_simple/samples_50000x32x32x3.npz	cifar_train	50000	32	3.418211	9.768684	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_simple
cifar10	vlb	cosine	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_vlb/samples_50000x32x32x3.npz	cifar_train	50000	32	2.981294	11.756001	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_vlb
cifar10	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_vlb/samples_50000x32x32x3.npz	cifar_train	50000	32	2.924799	10.693692	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_vlb
cifar10	vlb	geometric_linear	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_vlb/samples_50000x32x32x3.npz	cifar_train	50000	32	3.009022	11.289727	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_vlb
cifar10	vlb	linear	/project_gpfs/bata0/bjin0/evaluation_parallel_20260125_101538/cifar10_linear_vlb/samples_50000x32x32x3.npz	cifar_train	50000	32	3.090245	10.523915	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260125_101538/cifar10_linear_vlb
fashionmnist	hybrid	cosine	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_hybrid/samples_50000x32x32x3.npz	fashion_train	50000	32	0.827938	2.352145	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_hybrid
fashionmnist	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_cosine_hybrid/samples_50000x32x32x3.npz	fashion_train	50000	32	0.761154	1.230924	10000	50000	4000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_cosine_hybrid
fashionmnist	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_hybrid/samples_50000x32x32x3.npz	fashion_train	50000	32	0.887216	1.546636	10000	50000	4000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_hybrid
fashionmnist	hybrid	linear	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_linear_hybrid/samples_50000x32x32x3.npz	fashion_train	50000	32	0.947477	2.320925	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_linear_hybrid
fashionmnist	simple	cosine	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_simple/samples_50000x32x32x3.npz	fashion_train	50000	32	1.214592	2.221193	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_simple
fashionmnist	simple	geometric_cosine	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_cosine_simple/samples_50000x32x32x3.npz	fashion_train	50000	32	0.862070	1.438355	10000	50000	4000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_cosine_simple
fashionmnist	simple	geometric_linear	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_simple/samples_50000x32x32x3.npz	fashion_train	50000	32	1.746214	1.512209	10000	50000	4000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_simple
fashionmnist	simple	linear	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_linear_simple/samples_50000x32x32x3.npz	fashion_train	50000	32	1.452883	2.435917	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_linear_simple
fashionmnist	vlb	cosine	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_vlb/samples_50000x32x32x3.npz	fashion_train	50000	32	0.816530	1.772126	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_vlb
fashionmnist	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_cosine_vlb/samples_50000x32x32x3.npz	fashion_train	50000	32	0.773261	1.254050	10000	50000	4000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_cosine_vlb
fashionmnist	vlb	geometric_linear	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_vlb/samples_50000x32x32x3.npz	fashion_train	50000	32	0.921555	1.399474	10000	50000	4000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_vlb
fashionmnist	vlb	linear	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260125_101550/fashionmnist_linear_vlb/samples_50000x32x32x3.npz	fashion_train	50000	32	1.096259	1.277860	10000	50000	4000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260125_101550/fashionmnist_linear_vlb
imagenet64	hybrid	cosine	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.366802	28.799262	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_hybrid
imagenet64	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.315868	40.381191	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_hybrid
imagenet64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.328986	34.554963	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_hybrid
imagenet64	hybrid	linear	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.397859	30.158692	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_hybrid
imagenet64	simple	cosine	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.440620	27.780287	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_simple
imagenet64	simple	geometric_cosine	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	6.068291	39.101916	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_simple
imagenet64	simple	geometric_linear	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	10.759519	35.093241	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_simple
imagenet64	simple	linear	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.521594	30.746197	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_simple
imagenet64	vlb	cosine	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.357082	62.814386	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_vlb
imagenet64	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.310196	43.775487	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_vlb
imagenet64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.327054	45.332546	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_vlb
imagenet64	vlb	linear	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train	10000	64	3.341491	41.212610	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_vlb
mnist	hybrid	cosine	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_hybrid/samples_50000x32x32x3.npz	mnist_train	50000	32	0.346260	2.258499	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_hybrid
mnist	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_hybrid/samples_50000x32x32x3.npz	mnist_train	50000	32	0.286482	0.434488	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_hybrid
mnist	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_hybrid/samples_50000x32x32x3.npz	mnist_train	50000	32	0.345607	0.494281	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_hybrid
mnist	hybrid	linear	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_hybrid/samples_50000x32x32x3.npz	mnist_train	50000	32	0.387824	2.573753	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_hybrid
mnist	simple	cosine	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_simple/samples_50000x32x32x3.npz	mnist_train	50000	32	0.754538	2.173214	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_simple
mnist	simple	geometric_cosine	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_simple/samples_50000x32x32x3.npz	mnist_train	50000	32	0.343540	0.482725	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_simple
mnist	simple	geometric_linear	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_simple/samples_50000x32x32x3.npz	mnist_train	50000	32	0.647220	0.516012	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_simple
mnist	simple	linear	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_simple/samples_50000x32x32x3.npz	mnist_train	50000	32	0.959524	2.598570	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_simple
mnist	vlb	cosine	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_vlb/samples_50000x32x32x3.npz	mnist_train	50000	32	0.315578	0.432768	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_vlb
mnist	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_vlb/samples_50000x32x32x3.npz	mnist_train	50000	32	0.312752	0.450340	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_vlb
mnist	vlb	geometric_linear	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_vlb/samples_50000x32x32x3.npz	mnist_train	50000	32	0.391178	0.609716	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_vlb
mnist	vlb	linear	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_vlb/samples_50000x32x32x3.npz	mnist_train	50000	32	0.476889	0.579668	10000	50000	4000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_vlb
