dataset	objective	schedule	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	n_features_requested	samples_npz	real_dir
cifar10	hybrid	cosine	3.206944	5.474877	0.00657000751	0.00272348911	3.5237488e-05	1.10318002	0.930299997	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train
cifar10	hybrid	geometric_cosine	2.921334	9.037849	0.0165284839	0.00681132429	9.76785448e-05	0.813619995	0.798799992	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train
cifar10	hybrid	geometric_linear	3.012372	7.114203	0.0118251763	0.00494971488	9.22132899e-05	0.859520026	0.84829998	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_hybrid/samples_50000x32x32x3.npz	cifar_train
cifar10	hybrid	linear	3.295683	8.420695	0.0118388086	0.0049902001	6.14284486e-05	0.992380023	0.905099988	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_hybrid/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	cosine	3.298120	5.549630	0.00637409702	0.00281395952	3.97227034e-05	1.11796001	0.930199981	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	geometric_cosine	4.874985	9.684377	0.0170269859	0.00709546626	9.86740486e-05	0.809780023	0.787499964	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	geometric_linear	8.921947	6.795889	0.0110103205	0.00461293374	7.42579233e-05	0.869600024	0.85619998	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	linear	3.418211	9.768684	0.0130833732	0.00578853149	6.08225051e-05	0.994480029	0.893899977	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	cosine	2.981294	11.756001	0.0203944928	0.00967901479	0.000108145004	0.744660022	0.754799962	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_vlb/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	geometric_cosine	2.924799	10.693692	0.0183450951	0.00851563017	0.000106488308	0.747400018	0.758699954	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_vlb/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	geometric_linear	3.009022	11.289727	0.0196926301	0.00879273405	9.69821941e-05	0.729180029	0.753399968	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_vlb/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	linear	3.090245	10.523915	0.0189290253	0.00755088586	0.000100409275	0.742380017	0.768399954	50000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260125_101538/cifar10_linear_vlb/samples_50000x32x32x3.npz	cifar_train
fashionmnist	hybrid	cosine	0.827938	2.352145	0.00306862911	0.00092052225	2.92685005e-05	1.25312006	0.970999956	50000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_hybrid/samples_50000x32x32x3.npz	fashion_train
fashionmnist	hybrid	geometric_cosine	0.761154	1.230924	0.00171327704	0.000289681288	2.01945363e-05	1.10446002	0.970699966	50000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_cosine_hybrid/samples_50000x32x32x3.npz	fashion_train
fashionmnist	hybrid	geometric_linear	0.887216	1.546636	0.00220118834	0.000499165616	2.76754427e-05	1.13982002	0.968599975	50000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_hybrid/samples_50000x32x32x3.npz	fashion_train
fashionmnist	hybrid	linear	0.947477	2.320925	0.00235660993	0.00101293821	3.63555103e-05	1.27736002	0.973899961	50000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_linear_hybrid/samples_50000x32x32x3.npz	fashion_train
fashionmnist	simple	cosine	1.214592	2.221193	0.00223707127	0.00081652164	3.08606744e-05	1.25612001	0.971699953	50000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260121_095043/fashionmnist_cosine_simple/samples_50000x32x32x3.npz	fashion_train
