dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source_eval_dir
svhn	hybrid	cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_cosine_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.820134	1.630298	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_cosine_hybrid
svhn	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_cosine_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.644253	1.922278	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_cosine_hybrid
svhn	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_linear_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.706695	2.296606	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_linear_hybrid
svhn	hybrid	linabar_linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_linear_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	2.254585	2.624329	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_linear_hybrid
svhn	hybrid	linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linear_hybrid/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.888091	2.936352	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linear_hybrid
svhn	simple	cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_cosine_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.997378	1.563267	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_cosine_simple
svhn	simple	geometric_cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_cosine_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	2.960676	2.163469	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_cosine_simple
svhn	simple	geometric_linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_linear_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	5.524007	2.366887	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_linear_simple
svhn	simple	linabar_cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_cosine_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	3.168502	59.461271	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_cosine_simple
svhn	simple	linabar_linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_linear_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	3.008221	36.194209	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_linear_simple
svhn	simple	linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linear_simple/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	2.140557	2.939200	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linear_simple
svhn	vlb	cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_cosine_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.664240	3.920600	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_cosine_vlb
svhn	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_cosine_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.618504	2.810653	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_cosine_vlb
svhn	vlb	geometric_linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_linear_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.682548	2.585542	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_geometric_linear_vlb
svhn	vlb	linabar_cosine	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_cosine_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	2.220229	13.581338	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_cosine_vlb
svhn	vlb	linabar_linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_linear_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.930523	4.006579	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linabar_linear_vlb
svhn	vlb	linear	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linear_vlb/samples_50000x32x32x3.npz	/project_gpfs/bata0/bjin0/svhn_32x32/train	50000	32	1.714987	3.729338	10000	50000	4000	/project_gpfs/bata0/bjin0/svhn_evaluation_nll_fid_20260610_100613/svhn_linear_vlb
